date,general_acute_covid_occupied,general_acute_noncovid_occupied,general_acute_occupied_total,general_acute_vacant,general_acute_available,invasive_ventilated_covid_occupied,invasive_ventilated_noncovid_occupied,invasive_ventilated_occupied_total,invasive_ventilated_vacant,invasive_ventilated_available
01-Apr-20,782,2828,3610,2945,6555,100,48,148,182,330
02-Apr-20,755,2861,3616,2945,6561,110,51,161,174,335
03-Apr-20,801,2648,3449,3115,6564,110,59,169,179,348
04-Apr-20,793,2389,3182,3304,6486,122,60,182,174,356
05-Apr-20,859,2497,3356,2855,6211,131,44,175,182,357
06-Apr-20,907,2445,3352,2821,6173,137,51,188,181,369
07-Apr-20,910,2395,3305,2851,6156,144,53,197,205,402
08-Apr-20,1010,2262,3272,3041,6313,150,52,202,208,410
09-Apr-20,1007,2214,3221,3078,6299,161,49,210,211,421
10-Apr-20,1069,2156,3225,3037,6262,153,60,213,161,374
11-Apr-20,1059,2078,3137,3122,6259,149,41,190,192,382
12-Apr-20,1104,1908,3012,3241,6253,153,57,210,172,382
13-Apr-20,1032,2104,3136,3035,6171,155,59,214,173,387
14-Apr-20,1040,2203,3243,2968,6211,151,56,207,182,389
15-Apr-20,1059,2192,3251,2940,6191,150,50,200,195,395
16-Apr-20,1072,1961,3033,3200,6233,155,36,191,204,395
17-Apr-20,1068,2203,3271,2927,6198,159,57,216,179,395
18-Apr-20,1085,2184,3269,2933,6202,164,46,210,185,395
19-Apr-20,1041,2253,3294,2921,6215,153,56,209,186,395
20-Apr-20,1032,2425,3457,3127,6584,150,54,204,191,395
21-Apr-20,989,2394,3383,3183,6566,135,59,194,209,403
22-Apr-20,976,2392,3368,3209,6577,132,54,186,207,393
23-Apr-20,1209,3009,4218,3901,8119,123,56,179,214,393
24-Apr-20,1193,3086,4279,3849,8128,119,56,175,209,384
25-Apr-20,1221,3203,4424,3944,8368,126,59,185,200,385
26-Apr-20,1201,3314,4515,3882,8397,111,60,171,213,384
27-Apr-20,1197,3348,4545,3758,8303,105,65,170,223,393
28-Apr-20,1162,3348,4510,3586,8096,107,59,166,220,386
29-Apr-20,1135,3452,4587,3439,8026,101,62,163,222,385
30-Apr-20,1163,3459,4622,3777,8399,99,65,164,221,385
01-May-20,1012,3602,4614,3595,8209,92,62,154,231,385
02-May-20,1031,3548,4579,3622,8201,93,64,157,228,385
03-May-20,958,3569,4527,3643,8170,94,66,160,230,390
04-May-20,975,3918,4893,3359,8252,92,70,162,228,390
05-May-20,978,3912,4890,3359,8249,87,67,154,236,390
06-May-20,939,3858,4797,3474,8271,81,74,155,235,390
07-May-20,961,3965,4926,3281,8207,84,68,152,231,383
08-May-20,1020,3838,4858,3386,8244,89,49,138,245,383
09-May-20,988,3863,4851,3402,8253,75,54,129,254,383
10-May-20,935,3991,4926,3327,8253,78,49,127,256,383
11-May-20,889,4218,5107,3147,8254,76,56,132,232,364
12-May-20,892,4165,5057,3241,8298,72,55,127,237,364
13-May-20,813,4094,4907,3232,8139,66,53,119,244,363
14-May-20,826,4189,5015,3228,8243,69,55,124,240,364
15-May-20,785,4180,4965,3248,8213,56,63,119,244,363
16-May-20,806,4174,4980,3200,8180,62,77,139,224,363
17-May-20,788,4240,5028,3171,8199,60,80,140,223,363
18-May-20,761,4402,5163,3098,8261,59,86,145,215,360
19-May-20,824,4341,5165,3104,8269,64,81,145,203,348
20-May-20,793,4314,5107,3154,8261,55,86,141,216,357
21-May-20,827,4282,5109,3155,8264,57,78,135,222,357
22-May-20,957,4077,5034,3204,8238,58,76,134,223,357
